Wall time,Step,Value
1736721375.1843014,3,37.0
1736721385.6216674,5,9.0
1736721388.0918825,6,5.0
1736721400.840538,8,12.0
1736721416.282599,10,14.0
1736721419.2406383,11,6.0
1736721422.211461,12,6.0
1736721428.1032674,13,12.0
1736721433.9945865,14,12.0
1736721442.2984889,15,17.0
1736721447.2241664,16,10.0
1736721449.691745,17,5.0
1736721465.9235318,18,33.0
1736721485.978041,19,41.0
1736721488.4368107,20,5.0
1736721497.7531786,22,11.0
1736721507.08145,24,11.0
1736721518.444159,25,23.0
1736721559.2821736,30,29.0
1736721576.9576128,31,36.0
1736721582.8996367,32,12.0
1736721600.0457628,33,35.0
1736721608.9093287,34,18.0
1736721623.6903546,36,19.0
1736721635.9548063,39,6.0
1736721639.3562808,40,7.0
1736721656.6096103,42,6.0
1736721666.502377,43,20.0
1736721684.627586,44,37.0
1736721693.4365795,45,18.0
1736721701.8266082,47,12.0
1736721716.5063174,49,8.0
1736721724.9935234,50,17.0
1736721762.4463665,53,29.0
1736721772.8876858,54,21.0
1736721786.941774,55,28.0
1736721789.9185433,56,6.0
1736721797.6914816,57,14.0
1736721825.1965373,60,15.0
1736721837.555501,61,20.0
1736721855.5265722,63,19.0
1736721865.3737159,64,16.0
1736721887.9163487,65,38.0
1736721892.288486,66,7.0
1736721908.1550553,67,31.0
1736721943.9259624,68,73.0
1736721964.9991775,69,43.0
1736721980.931796,71,23.0
1736721998.2293558,72,35.0
1736722002.145576,73,8.0
1736722007.021416,74,10.0
1736722033.1832263,76,9.0
1736722050.9161992,78,19.0
1736722058.4266117,79,12.0
1736722072.4253922,81,16.0
1736722076.8527658,82,7.0
1736722103.660946,84,7.0
1736722124.4236038,85,33.0
1736722134.0856278,86,19.0
1736722136.5690522,87,5.0
1736722163.0025709,88,54.0
1736722175.8867047,89,26.0
1736722191.4681873,91,25.0
1736722194.4109013,92,6.0
1736722199.7604954,93,11.0
1736722203.6645458,94,8.0
1736722240.4809752,99,8.0
1736722251.7390034,100,18.0
1736722264.611965,102,15.0
1736722275.3375342,104,5.0
1736722279.1852174,105,7.0
1736722302.5240924,106,38.0
