Wall time,Step,Value
1736634449.0050006,3,27.0
1736634451.6816385,5,15.0
1736634453.0155714,6,32.0
1736634454.0210893,8,11.0
1736634455.4397113,10,10.0
1736634455.701477,11,6.0
1736634456.2151482,12,12.0
1736634456.5566688,13,8.0
1736634456.8536217,14,7.0
1736634457.528943,15,16.0
1736634457.9766238,16,10.0
1736634458.1547697,17,4.0
1736634459.2519536,18,26.0
1736634459.769376,19,12.0
1736634460.1067967,20,8.0
1736634461.0779333,22,4.0
1736634462.7540963,24,13.0
1736634463.2492344,25,12.0
1736634466.8097656,30,12.0
1736634467.3618069,31,13.0
1736634468.120203,32,18.0
1736634468.506388,33,9.0
1736634470.2073905,34,40.0
1736634471.1467931,36,12.0
1736634472.8899925,39,5.0
1736634473.2262824,40,8.0
1736634475.1251194,42,18.0
1736634475.4551423,43,7.0
1736634476.011713,44,13.0
1736634477.391145,45,33.0
1736634478.3439665,47,14.0
1736634481.0418556,49,28.0
1736634482.6451995,50,38.0
1736634486.545645,53,55.0
1736634487.2853563,54,18.0
1736634487.6055822,55,7.0
1736634487.9989998,56,7.0
1736634488.2556942,57,5.0
1736634491.5850291,60,8.0
1736634491.7591965,61,4.0
1736634492.9995444,63,15.0
1736634493.954539,64,23.0
1736634494.4029603,65,10.0
1736634495.3824997,66,23.0
1736634495.9237037,67,13.0
1736634496.9747324,68,24.0
1736634499.5655844,69,53.0
1736634501.4022331,71,10.0
1736634502.825021,72,31.0
1736634503.2409942,73,8.0
1736634504.0464683,74,17.0
1736634504.887357,76,9.0
1736634505.9345653,78,11.0
1736634507.6184251,79,39.0
1736634509.1665957,81,19.0
1736634511.1046572,82,47.0
1736634511.9126835,84,6.0
1736634513.1525466,85,30.0
1736634514.1043227,86,22.0
1736634515.283402,87,28.0
1736634516.7801275,88,32.0
1736634517.817081,89,24.0
1736634518.821692,91,15.0
1736634519.4931617,92,16.0
1736634521.040651,93,37.0
1736634521.8009958,94,18.0
1736634525.724597,99,17.0
1736634526.5568523,100,20.0
1736634527.6032448,102,6.0
1736634528.2431035,104,5.0
1736634528.5374098,105,7.0
1736634528.8713953,106,8.0
1736634531.9580224,109,16.0
1736634534.654657,113,21.0
1736634535.9432683,116,15.0
1736634536.8656409,118,14.0
1736634537.9827485,119,27.0
1736634538.2337706,120,6.0
1736634540.3184528,124,9.0
1736634541.1838322,125,21.0
1736634541.4355593,126,6.0
1736634542.2306368,127,19.0
1736634543.419427,129,8.0
1736634543.8783576,130,11.0
1736634545.9824345,133,26.0
1736634547.838651,136,9.0
1736634548.0528922,137,5.0
1736634548.6903331,139,8.0
1736634549.3604085,141,6.0
1736634549.7361004,142,9.0
1736634549.9898791,143,6.0
1736634550.2015245,144,5.0
1736634550.453111,145,6.0
